code,plot,year,species,#adults,#saplings,#seedlings
212,CM4,2008,Halimium commutatum,20,40,NA
213,CM4,2008,Halimium halimifolium,10,35,NA
216,CM4,2008,Lavandula stoechas,20,90,NA
217,CM4,2008,Rosmarinus officinalis,2,40,NA
221,CM5,2008,Cistus libanotis,8,85,NA
222,CM5,2008,Halimium commutatum,3,10,NA
223,CM5,2008,Halimium halimifolium,13,34,NA
226,CM5,2008,Lavandula stoechas,12,146,NA
227,CM5,2008,Rosmarinus officinalis,0,4,NA
231,CM6,2008,Cistus libanotis,14,20,NA
232,CM6,2008,Halimium commutatum,12,9,NA
233,CM6,2008,Halimium halimifolium,14,8,NA
236,CM6,2008,Lavandula stoechas,26,127,NA
237,CM6,2008,Rosmarinus officinalis,9,21,NA
241,MM1,2008,Cistus libanotis,8,91,NA
242,MM1,2008,Halimium commutatum,2,5,NA
243,MM1,2008,Halimium halimifolium,1,7,NA
246,MM1,2008,Lavandula stoechas,5,23,NA
247,MM1,2008,Rosmarinus officinalis,0,10,NA
251,MM2,2008,Cistus libanotis,10,25,NA
252,MM2,2008,Halimium commutatum,21,20,NA
253,MM2,2008,Halimium halimifolium,45,4,NA
256,MM2,2008,Lavandula stoechas,1,5,NA
257,MM2,2008,Rosmarinus officinalis,7,24,NA
261,MM3,2008,Cistus libanotis,0,29,NA
262,MM3,2008,Halimium commutatum,20,84,NA
263,MM3,2008,Halimium halimifolium,17,9,NA
266,MM3,2008,Lavandula stoechas,0,0,NA
267,MM3,2008,Rosmarinus officinalis,7,16,NA
271,MM4,2008,Cistus libanotis,4,5,NA
272,MM4,2008,Halimium commutatum,18,16,NA
273,MM4,2008,Halimium halimifolium,53,1,NA
276,MM4,2008,Lavandula stoechas,0,0,NA
277,MM4,2008,Rosmarinus officinalis,5,22,NA
281,MM5,2008,Cistus libanotis,0,0,NA
282,MM5,2008,Halimium commutatum,3,0,NA
283,MM5,2008,Halimium halimifolium,8,35,NA
286,MM5,2008,Lavandula stoechas,8,0,NA
287,MM5,2008,Rosmarinus officinalis,1,0,NA
291,MM6,2008,Cistus libanotis,4,40,NA
292,MM6,2008,Halimium commutatum,4,20,NA
293,MM6,2008,Halimium halimifolium,9,25,NA
296,MM6,2008,Lavandula stoechas,3,32,NA
297,MM6,2008,Rosmarinus officinalis,10,57,NA
301,OM1,2008,Cistus libanotis,0,18,NA
302,OM1,2008,Halimium commutatum,0,4,NA
303,OM1,2008,Halimium halimifolium,2,19,NA
306,OM1,2008,Lavandula stoechas,12,34,NA
307,OM1,2008,Rosmarinus officinalis,1,4,NA
311,OM2,2008,Cistus libanotis,1,2,NA
312,OM2,2008,Halimium commutatum,11,4,NA
313,OM2,2008,Halimium halimifolium,9,9,NA
316,OM2,2008,Lavandula stoechas,18,10,NA
317,OM2,2008,Rosmarinus officinalis,0,0,NA
321,OM3,2008,Cistus libanotis,1,22,NA
322,OM3,2008,Halimium commutatum,8,4,NA
323,OM3,2008,Halimium halimifolium,10,11,NA
326,OM3,2008,Lavandula stoechas,8,8,NA
327,OM3,2008,Rosmarinus officinalis,5,5,NA
331,OM4,2008,Cistus libanotis,1,24,NA
332,OM4,2008,Halimium commutatum,0,4,NA
333,OM4,2008,Halimium halimifolium,6,2,NA
336,OM4,2008,Lavandula stoechas,1,3,NA
337,OM4,2008,Rosmarinus officinalis,0,20,NA
341,OM5,2008,Cistus libanotis,3,0,NA
342,OM5,2008,Halimium commutatum,6,6,NA
343,OM5,2008,Halimium halimifolium,4,4,NA
346,OM5,2008,Lavandula stoechas,13,2,NA
347,OM5,2008,Rosmarinus officinalis,17,13,NA
351,OM6,2008,Cistus libanotis,0,2,NA
352,OM6,2008,Halimium commutatum,11,7,NA
353,OM6,2008,Halimium halimifolium,10,11,NA
356,OM6,2008,Lavandula stoechas,15,24,NA
357,OM6,2008,Rosmarinus officinalis,8,3,NA
361,CM1,2010,Cistus libanotis,21,4,19
362,CM1,2010,Halimium commutatum,5,1,2
363,CM1,2010,Halimium halimifolium,8,0,4
